Episode,Outcome,Avg_Performance,SmartMovePlayer1
629,2,0.40,0.70
630,1,0.36,0.70
631,2,0.40,0.70
632,2,0.40,0.70
633,1,0.36,0.70
634,2,0.36,0.70
635,1,0.32,0.70
636,2,0.34,0.70
637,None,0.32,0.70
638,2,0.34,0.70
639,2,0.34,0.70
640,1,0.30,0.70
641,2,0.34,0.70
642,2,0.38,0.70
643,2,0.42,0.70
644,None,0.40,0.70
645,2,0.40,0.70
646,2,0.40,0.70
647,2,0.40,0.70
648,2,0.42,0.70
649,1,0.42,0.70
650,1,0.38,0.70
651,1,0.34,0.70
652,2,0.38,0.70
653,2,0.38,0.70
654,2,0.42,0.70
655,2,0.42,0.70
656,2,0.42,0.70
657,1,0.40,0.70
658,2,0.44,0.70
659,1,0.40,0.70
660,2,0.40,0.70
661,2,0.42,0.70
662,2,0.44,0.70
663,2,0.44,0.70
664,None,0.42,0.70
665,2,0.42,0.70
666,1,0.40,0.70
667,None,0.38,0.70
668,1,0.34,0.70
669,2,0.34,0.70
670,None,0.36,0.70
671,2,0.36,0.70
672,2,0.36,0.70
673,2,0.36,0.70
674,2,0.36,0.70
675,2,0.36,0.70
676,2,0.40,0.70
677,1,0.38,0.70
678,1,0.38,0.70
679,2,0.38,0.70
680,None,0.40,0.70
681,None,0.38,0.70
682,1,0.34,0.70
683,None,0.36,0.70
684,1,0.32,0.70
685,2,0.36,0.70
686,None,0.34,0.70
687,None,0.34,0.70
688,2,0.34,0.70
689,2,0.34,0.70
690,2,0.38,0.70
691,2,0.38,0.70
692,2,0.38,0.70
693,2,0.38,0.70
694,None,0.38,0.70
695,None,0.36,0.70
696,None,0.34,0.70
697,2,0.34,0.70
698,2,0.34,0.70
699,1,0.34,0.70
700,2,0.38,0.70
701,2,0.42,0.70
702,2,0.42,0.70
703,2,0.42,0.70
704,2,0.42,0.70
705,1,0.38,0.70
706,None,0.36,0.70
707,None,0.38,0.70
708,2,0.38,0.70
709,2,0.42,0.70
710,2,0.42,0.70
711,1,0.38,0.70
712,None,0.36,0.70
713,2,0.36,0.70
714,1,0.34,0.70
715,1,0.30,0.70
716,2,0.34,0.70
717,None,0.34,0.70
718,1,0.34,0.70
719,None,0.32,0.70
720,None,0.32,0.70
721,2,0.32,0.70
722,2,0.32,0.70
723,2,0.32,0.70
724,2,0.32,0.70
725,2,0.32,0.70
726,2,0.32,0.70
727,None,0.34,0.70
728,2,0.38,0.70
729,None,0.36,0.70
730,1,0.34,0.70
731,2,0.36,0.70
732,1,0.36,0.70
733,None,0.36,0.70
734,2,0.40,0.70
735,None,0.38,0.70
736,None,0.38,0.70
737,1,0.36,0.70
738,2,0.36,0.70
739,2,0.36,0.70
740,2,0.36,0.70
741,None,0.34,0.70
742,2,0.34,0.70
743,None,0.32,0.70
744,2,0.34,0.70
745,2,0.36,0.70
746,1,0.34,0.70
747,2,0.34,0.70
748,2,0.34,0.70
749,None,0.36,0.70
750,2,0.36,0.70
751,2,0.36,0.70
752,2,0.36,0.70
753,2,0.36,0.70
754,1,0.32,0.70
755,2,0.36,0.70
756,2,0.38,0.70
757,1,0.36,0.70
758,2,0.36,0.70
759,2,0.36,0.70
760,2,0.36,0.70
761,None,0.38,0.70
