Episode,Outcome,Avg_Performance,SmartMovePlayer1
534,1,0.30,0.60
535,2,0.34,0.60
536,2,0.34,0.60
537,2,0.34,0.60
538,2,0.34,0.60
539,2,0.34,0.60
540,1,0.34,0.60
541,2,0.34,0.60
542,2,0.38,0.60
543,2,0.38,0.60
544,2,0.38,0.60
545,2,0.38,0.60
546,2,0.42,0.60
547,2,0.42,0.60
548,1,0.38,0.60
549,2,0.42,0.60
550,2,0.42,0.60
551,1,0.42,0.60
552,2,0.42,0.60
553,2,0.42,0.60
554,2,0.42,0.60
555,2,0.42,0.60
556,2,0.44,0.60
557,2,0.46,0.60
558,1,0.42,0.60
559,1,0.40,0.60
560,1,0.36,0.60
561,2,0.38,0.60
562,2,0.42,0.60
563,1,0.38,0.60
564,2,0.38,0.60
565,2,0.40,0.60
566,2,0.40,0.60
567,2,0.44,0.60
568,2,0.44,0.60
569,2,0.44,0.60
570,None,0.42,0.60
571,2,0.42,0.60
572,1,0.38,0.60
573,2,0.42,0.60
574,None,0.40,0.60
575,2,0.44,0.60
576,2,0.48,0.60
Increment at Episode 577: SmartMovePlayer1 increased to 0.70
577,2,0.52,0.70
578,2,1.00,0.70
579,1,0.00,0.70
580,2,0.33,0.70
581,2,0.50,0.70
582,1,0.20,0.70
583,1,0.00,0.70
584,None,0.00,0.70
585,2,0.12,0.70
586,2,0.22,0.70
587,2,0.30,0.70
588,2,0.36,0.70
589,1,0.25,0.70
590,2,0.31,0.70
591,2,0.36,0.70
592,2,0.40,0.70
593,2,0.44,0.70
594,2,0.47,0.70
595,None,0.44,0.70
596,2,0.47,0.70
597,1,0.40,0.70
598,None,0.38,0.70
599,1,0.32,0.70
600,1,0.26,0.70
601,2,0.29,0.70
602,2,0.32,0.70
603,None,0.31,0.70
604,2,0.33,0.70
605,2,0.36,0.70
606,2,0.38,0.70
607,2,0.40,0.70
608,2,0.42,0.70
609,1,0.38,0.70
610,None,0.36,0.70
611,None,0.35,0.70
612,2,0.37,0.70
613,2,0.39,0.70
614,2,0.41,0.70
615,2,0.42,0.70
616,2,0.44,0.70
617,2,0.45,0.70
618,1,0.41,0.70
619,2,0.43,0.70
620,1,0.40,0.70
621,2,0.41,0.70
622,None,0.40,0.70
623,2,0.41,0.70
624,2,0.43,0.70
625,2,0.44,0.70
626,2,0.45,0.70
627,2,0.46,0.70
628,2,0.46,0.70
629,2,0.50,0.70
630,None,0.48,0.70
631,2,0.48,0.70
Increment at Episode 632: SmartMovePlayer1 increased to 0.80
632,2,0.52,0.80
633,2,1.00,0.80
634,2,1.00,0.80
635,None,0.67,0.80
636,2,0.75,0.80
637,2,0.80,0.80
638,2,0.83,0.80
639,2,0.86,0.80
640,2,0.88,0.80
641,2,0.89,0.80
642,2,0.90,0.80
643,2,0.91,0.80
644,2,0.92,0.80
645,2,0.92,0.80
646,2,0.93,0.80
647,2,0.93,0.80
648,2,0.94,0.80
649,2,0.94,0.80
650,2,0.94,0.80
651,1,0.84,0.80
652,2,0.85,0.80
653,1,0.76,0.80
654,1,0.68,0.80
655,None,0.65,0.80
656,2,0.67,0.80
657,2,0.68,0.80
658,2,0.69,0.80
659,2,0.70,0.80
660,2,0.71,0.80
661,2,0.72,0.80
662,2,0.73,0.80
663,2,0.74,0.80
664,2,0.75,0.80
665,2,0.76,0.80
666,2,0.76,0.80
667,1,0.71,0.80
668,2,0.72,0.80
669,2,0.73,0.80
670,2,0.74,0.80
671,2,0.74,0.80
672,2,0.75,0.80
673,2,0.76,0.80
674,1,0.71,0.80
675,2,0.72,0.80
676,1,0.68,0.80
677,2,0.69,0.80
